date,recipient,message,sender
"June 15, 1863",Lincoln,"Your dispatch, 8.30, received. My dispatch to General Halleck this morning shows my position tonight With regard to the enemy, your dispatch is more conclusive than any I have received. I now feel that invasion is his settled purpose. If so, he has more to accomplish, but with more hazard, by striking an easterly direction after crossing than a northerly one. It seems to me that he will be more likely to go north, and to incline to the west. He can have no design to look after his rear. It is an act of desperation on his part, no matter in what force he moves. It will kill copperheadism in the North. I do not know that my opinion as to the duty of this army in the case is wanted; if it should be, you know that I will be happy to give it. I have heard nothing of the movements of the enemy to-day, excepting that he has not attempted to follow me across the Rappahannock. I have only heard that all of AP Hill’s forces moved up the river this morning, in the direction of Culpeper. If it should be determined for me to make a movement in pursuit, which I am not prepared to recommend at this time, I may possibly be able to move some corps tomorrow, and can reach the point of the enemy’s crossing in advance of AP Hill. If I should move at once, he would probably wait until his forces are concentrated. If they are moving toward Maryland, I can better fight them there than make a running fight. If they come up in front of Washington, I can threaten and cut their communications, and Dix can be reinforced from the south to act on their rear. I could not sit still and have them turn my right. My sources of information could not successfully cover such an extent of country as their movements indicate. I add these as suggestions for your consideration.",Hooker
"June 15, 1863",Lincoln,"I have received your dispatch of this evening. The Army of the Potomac is in this vicinity, excepting the Second and Sixth Corps, and, as they are marching in rear of all the trains, they will not be up before some time tomorrow.
Perhaps the Second Corps will not be here until some time during tomorrow night. The First and Eleventh Corps were first to arrive on this line, but I have not yet learned whether they have drawn their supplies in readiness to march tomorrow morning or not. As soon as they are provided, they, as well as the others, will be put en route.
I have been informed that the enemy nowhere crossed the Rappahannock on our withdrawal from it, but General Hill’s troops moved up the river in the direction of Culpeper this morning, for the purpose, I conclude, of re-enforcing Longstreet and Ewell, wherever they may be.
I request that I may be informed what troops there are at Harper’s Ferry, and who is in command of them, and also who is in command in this district.",Hooker
"June 16, 1863",Lincoln,"It appears to me from General Couch’s dispatch of last night,* received this a. m., that nearly all the cavalry of the Army of the Potomac should at once be sent into Maryland by the most direct route. General Stahel has an abundance to perform all cavalry duty that will be required south of the Potomac. I merely make the suggestion. If any considerable body of enemy’s infantry should be thrown across the Potomac, they will probably take the direction of his advance pickets, and in that event it seems to me that a heavy column of ours should be thrown as speedily as possible across the river at Harper’s Ferry, while another should be thrown over the most direct line covering Baltimore and Philadelphia. I only speak with reference to this army, as I know nothing of the location or numbers of troops at the disposal of the Government elsewhere.",Hooker
"June 16, 1863",Lincoln,"Please accept my suggestions in regard to what should be done in the spirit with which they were given. They were suggestions merely, for I have not the data necessary to form an enlightened opinion on the case. Upon general principles, I thought those were the movements to make.
You have long been aware, Mr. President, that I have not enjoyed the confidence of the major-general commanding the army, and I can assure you so long as this continues we may look in vain for success, especially as future operations will require our relations to be more dependent upon each other than heretofore.
It'may be possible now to move to prevent a junction of AP Hill’s corps with those of Ewell and Longstreet. If so, please let instructions to that effect be given me. As will appear to you, the chances for my doing this are much smaller than when I was on the Rappahannock, for, if he should hold the passes stoutly, he can cause me delay. You may depend upon it, we can never discover the whereabouts of the enemy, or divine his intentions, so long as he fills the country with a cloud of cavalry. We must break through that to find him.",Hooker
"June 16, 1863",Hooker,"I do not think there is reliable information that the enemy has crossed the Potomac in any force. Where his main corps are, is still uncertain, and I know of no way to ascertain, excepting through your cavalry, which should be kept near enough to the enemy to at least be able to tell where he is. My suggestion of yesterday, to follow the enemy’s advance, by moving a considerable force first to Leesburg, and thence as circumstances may require, is the best one I can make. Unless your army is kept near enough to the enemy to ascertain his movements, yours must be in the dark or on mere conjecture. Tyler is in command at Harper’s Ferry, with, it is said, only 9,000 men, but, according to returns of the 11th, he should have at least 13,600. Heintzelman, as you must be aware, commands this department. Besides the divisions of Abercrombie and Stahel, near you, he has little or no movable troops. Telegraph direct to him in all matters connected with the use of his troops.",Halleck
"June 16, 1863",Hooker,"There is now no doubt that the enemy is surrounding Harper’s Ferry, but in what force I have no information. General Schenck says our force there is much less than before reported, and cannot hold out very long. He wished to know whether he may expect relief. He can hope for none, excepting from your army.",Halleck
"June 16, 1863",Halleck,"Just received your telegram. Please inform me whether our forces at Harper’s Ferry are in the town or on the heights, and, if the latter, whether we hold Bolivar, Loudoun, or Maryland Heights, and which, if any ; what bridges at Harper’s Ferry, and where ; from what direction is the enemy making his attack ? I suppose it is a couple of long marches from here for troops without trains, but this, of course, will depend upon the position of the enemy.",Hooker
"June 16, 1863",Halleck,"In compliance with your directions, I shall march to the relief of Harper’s Ferry. I put my column again in motion at 3 a. m. tomorrow. I expect to reach there in two days, and, if possible, earlier. The partial rest of to-day was not lost, being necessary to recruit from forced and heavy marches and fill up supplies.
My headquarters at Farrall [?] Station tomorrow night.",Hooker
"June 16, 1863",Hooker,"Information of enemy’s actual position and force in front of Harper’s Ferry is as indefinite as that in your front. Nearly everything is conjecture. The only position of the enemy mentioned is Hall-town. The bridges across both rivers at Harper’s Ferry are believed to be intact, and most of Tyler’s troops on Maryland Heights. Loudoun Heights are not fortified, but swept by Maryland batteries. Your questions have been sent to Tyler, and his answer will be forwarded as soon as received. Any troops you can send to his relief should be in motion. A few of the enemy have shown themselves at Poolesville and Point of Rocks. No definite information of his movements from any place.",Halleck
"June 16, 1863",Lincoln,"My orders are out to march at 3 o’clock tomorrow morning. It will be likely to be one of vigor and power. I am prepared to move without communications with any place for ten days. I hope to reach my objective point before the arrival of Hill’s corps, should it be moving in that direction. If I do not know this fact, I will shortly, but of information to the north of the Potomac I really have nothing.
I wish that it might be made the duty of some person in the telegraph office in Washington to keep me informed of the enemy’s movements in Marvland.",Hooker
"June 16, 1863",Hooker,"To remove all misunderstanding, I now place you in the strict military relation to General Halleck of a commander of one of the armies to the general-in-chief of all the armies. I have not intended differently, but as it seems to be differently understood, I shall direct him to give you orders and you to obey them.",Lincoln
"June 16, 1863",Hooker,"I have given no directions for our army to move to Harper’s Ferry. I have advised the movement of a force, sufficiently strong to meet Longstreet, on Leesburg, to ascertain where the enemy is, and then move to the relief of Harper’s Ferry, or elsewhere, as circumstances might require. With the remainder of your force in proper position to support this, I want you to push out your cavalry, to ascertain something definite about the enemy. You are in command of the Army of the Potomac, and will make the particular dispositions as you deem proper. I shall only indicate the objects to be aimed at. We have no positive information of any large force against Harper’s Ferry, and it cannot be known whether it will be necessary to go there until you can feel the enemy and ascertain his whereabouts.",Halleck
"June 16, 1863",Stanton,"If General Cadwalader has gone to Pennsylvania, please request him to send me information of the rebel movements to the south of there. Also please have the newspapers announce that I am moving on tq the James River line. I will mask my real movements in these parts.",Hooker
"June 16, 1863",Hooker,"General Cadwalader has not gone to Pennsylvania, but is here waiting for orders. You shall be kept posted upon all information received here as to enemy’s movements, but must exercise your own judgment as to its credibility. The very demon of lying seems to be about these times, and generals will have to be broken for ignorance before they will take the trouble to find out the truth of reports.",Stanton
"June 17, 1863",Hooker,"Mr. Eckert, superintendent of the telegraph office, answers me that he has sent, and will send you, everything that comes to the office.",Lincoln
"June 17, 1863",Halleck,"Your dispatch of 10 p.m. received by me at 1 a. m. Will make the dispositions of my forces to comply with the objects aimed at in your dispatch.
The advices heretofore received by telegraph from Washington have stated successively that Martinsburg and Winchester were invested and surrounded; that Harper’s Ferry was closely invested, with urgent calls upon me for relief; that the enemy were advancing in three columns through Pennsylvania, and had driven in General Couch’s pickets. Now I am informed, in substance, that General Schenck thinks it all arises from one of his wagon trains; that General Tyler, at Harper’s Ferry, whose urgent calls, as represented to me, required under my instructions rapid movements in this direction, seems to think that he is in no danger.
Telegraph operator just reports to me that Harper’s Ferry is abandoned by our forces. Is this true ?
Directions have been given for my cavalry to make a reconnaissance in the direction of Winchester and Harper’s Ferry, for the purpose of ascertaining the whereabouts and strength of the enemy, and while this is being done, some of the infantry corps will be advanced by easy marches. As soon as the intentions of the enemy are known to me, I shall be able to advance with rapidity.
My headquarters will be at Fairfax Station tonight.
I should very much like to have reliable and correct information concerning the enemy on the north side of the Potomac.",Hooker
"June 17, 1863",Hooker,"No reliable information of rebel movements in Maryland. All telegrams of importance received here are immediately sent to you. All telegrams from you or to you are subject to the hourly inspection of the Secretary of War and the President. -No important instructions have or will be sent to you without their knowledge. It is important that the Department be kept advised of all your movements ; not in detail, but their general character. Also send all the information you get of the enemy’s movements and position.",Halleck
"June 17, 1863",Halleck,"Advice of the abandonment of Harper’s Ferry renders forced marches unnecessary to relieve it. This army will be in position as follows tonight: One corps at Dranesville; one corps at Guilford Station; one corps on Goose Creek, near Trappe Rock; one corps at Gum Springs; one corps at Centreville; one corps at Sangster’s Station; one corps at Fairfax Station. Headquarters at Fairfax Station tonight. Cavalry feeling up through Aldie toward Winchester.",Hooker
"June 17, 1863",Hooker,"I regret equally with you that reports from north side of the Potomac are so unreliable and contradictory, but they are given to you as received. What is meant by abandoning Harper’s Ferry is merely that General Tyler has concentrated his force in the fortifications on Maryland Heights. No enemy in any force has been seen below Harper’s Ferry, north of the river, and it is hoped that Tyler’s cavalry may get something reliable above. So far, we have had only the wild rumors of panic-stricken people.",Halleck
"June 17, 1863",Hooker,My telegram of this morning [afternoon] has informed you what is meant by the abandonment of Harper’s Ferry—a mere change of position. It changes in no respect the objects you are to keep in view.,Halleck
"June 17, 1863",Halleck,"I am in constant receipt of copies of dispatches from General Couch with regard to enemy at Chambersburg. Is there, in your opinion, any foundation for the reports? All my cavalry are out, and I have deemed it prudent to suspend any farther advance of the infantry until I have information that the enemy are in force in the Shenandoah Valley. I have just received dispatches from Pleasonton, dated 4.15 p.m. He ran against Fitzhugh Lee’s brigade of cavalry near Aldie, and from prisoners learned that Stuart is at Middleburg; and it is further reported that there is no infantry on this side of the Blue Ridge. When the orderly left, Pleasonton had charged and driven Lee out of Aldie. All my cavalry are out.
Has it ever suggested itself to you that this cavalry raid may be a cover to Lee’s re-enforcing Bragg or moving troops to the West ?",Hooker
"June 18, 1863",Halleck,"At my last advices from Pleasonton, he had captured 8 officers and the greater portion of two squadrons of Fitz Lee’s brigade of Stuart’s cavalry, and driven them out of Aldie.
My instructions to him were to find out what was behind them. At 1 a. m. we received advices that looked as though White, with 400 cavalry, was at Point of Rocks. The Twelfth Corps was immediately ordered to Leesburg, and to hold it and the fords of the Potomac in that vicinity. I ought to have had a large cavalry force and two regiments of infantry at the mouth of the Monocacy last night. Having no means of telegraphic communication there, I am unadvised as to their arrival, and unable to give .them orders by telegraph.
A bridge sufficient to cross the Potomac is also to be at that point at noon to-day.",Hooker
"June 18, 1863",Hooker,"I can get no information of the enemy other than that sent to you. Rumors from Pennsylvania are too confused and contradictory to be relied on. Officers and citizens are on a big stampede. They are asking me why does not General Hooker tell where Lee’s army is; he is nearest to it. There are numerous suppositions and theories, but all is yet mere conjecture. I only hope for positive information from your front. General Heintzelman has a signal line to Sugar Loaf mountain, and is directed to send you all the information he obtains. General Kelley is observing the passes west of the Shenandoah, and will give you, through General Schenck, all information he can get. He is very reliable.",Halleck
"June 18, 1863",Halleck,"Prisoners from Pleasonton’s fight—9 officers and 66 men—now on the way to this camp.
Advices received of the arrival of my cavalry force and pontoons at mouth of Monocacy. Sixth Corps moved up to Germantown.
I would request that signal officers be established at Crampton’s Pass and South Mountain. They can see the whole country north of the Potomac, and telegraph movements of any column. If my advices of to-day make it advisable, I shall seize and hold those passes. It may be necessary to use General Schenck’s troops for that purpose.",Hooker
"June 18, 1863",Halleck,"General: I have to request that Brigadier-General Pleasonton, for his gallant conduct at Chancellorsville, his services there, and his attack and surprise of Stuart’s force, superior in numbers, on the Rappahannock, June 9, may be made major-general, and assigned to command the cavalry corps.",Hooker
"June 18, 1863",Hooker,"Your telegram for a signal station at Crampton’s Pass and South Mountain has been sent to Colonel Myer, with directions to.carry out your wishes, if he has the means. General Schenck has been notified that you will have control of any of his forces that are within the sphere of your operations. If you want anything of General Schenck or General Heintzelman, telegraph to them direct. Copies of each telegram are always retained at the War Department for the information of the Government.",Halleck
"June 19, 1863",Halleck,"I have asked Generals Schenck and Heintzelman for information as to the location, character, and number of their commands. Please direct it to be furnished. I have directed General Stahel to concentrate his cavalry for movement. Please inform General HeintzeL man. Are orders for these commands to he given by me where I deem it necessary? The nature of the control to he exercised by me I would like to have distinctly and clearly fixed and understood by Generals Heintzelman and Schenck, that I may not seem to avoid proper channels or to act discourteously toward them.",Hooker
"June 19, 1863",Halleck,"I have just been furnished with an extract from the New York Herald of yesterday concerning the late movements of this army. So long as the newspapers continue to give publicity to our movements, we must not expect to gain any advantage over our adversaries. Is there no way of stopping it? I can suppress the circulation of this paper within my lines, but I cannot prevent their reaching it to the enemy. We could well afford to give millions of money for like information of the enemy.",Hooker
"June 19, 1863",Hooker,"I appreciate as fully as yourself the injury resulting from newspaper publication of the movements, numbers, and position of our troops, but I see no way of preventing it as long as reporters are permitted in our camps. I expelled them all from our lines in Mississippi. Every general must decide for himself what persons he will permit in his camps.",Halleck
"June 19, 1863",Halleck,"Do you give credit to the reported movements of the enemy as stated in the Chronicle, of this morning?",Hooker
"June 19, 1863",Hooker,"I do not know to what particular statement in the Chronicle you refer. There are several which are contradictory. It now looks very prnch as if Lee had been trying to draw your right across the Potomac, so as to attack your left. But of that it is impossible to judge until we know where Lee’s army is. No large body has appeared either in Maryland or Western Virginia.",Halleck
"June 19, 1863",Halleck,"Reports just received from General Pleasonton, at Aldie, state General [D. McM.] Gregg has been fighting nearly all day—driven the enemy through Middleburg, in direction of Upperville; has already sent in between 50 and 60 prisoners, one a lieutenant-colonel, and a number of officers of less rank, all from North Carolina. The force encountered was [B. H.] Robertson’s brigade, North Carolina troops, supported by two other brigades, all under command of Stuart. Considerable loss inflicted upon the enemy.
My corps are tonight as follows : Twelfth, Slocum, Leesburg. Eleventh, Howard, on Goose Creek, 4 miles from Leesburg, toward Aldie. Fifth, Meade, at Aldie. First, Reynolds, at Herndon Station and vicinity, on Loudoun and Hampshire Railroad. Third, Birney, at Gum Spring. Second, Hancock, at Centreville. Sixth, Sedgwick, at Germantown. Pleasonton rests his cavalry at Aldie tonight. Notwithstanding dispatch sent me by General Tyler, at Williamsport, his [Lee’s] delay in my front has caused me to doubt his intention of throwing over any considerable force on Maryland shore. It is the impression of General Pleasonton that his infantry are still on opposite side of Blue Ridge, and that it is his intention to attack in this direction.",Hooker
"June 20, 1863",Halleck,"I have moved up Second Corps to Thoroughfare Gap ; a division of Second Corps at Gainesville ; a division of Sixth Corps at Bris-toe ; other forces unchanged.
Pleasonton reports Stuart’s force in front of him, beyond Middleburg. He will attack him with all his available command early tomorrow. Their cavalry have mounted infantry with them. Infantry soldiers captured report to Pleasonton that Longstreet’s rear passed through the Blue Ridge yesterday. I have directed a bridge to be laid at Edwards Ferry tonight.",Hooker
"June 21, 1863",Hooker,"Operator at Leesburg just now tells us that firing commenced about 7 this morning in direction from here of Aldie’s Gap and Middleburg ; has continued all day, and has receded from him, and is apparently now about White Plains ; was very heavy this morning, but lighter now.",Lincoln
"June 21, 1863",Lincoln,"Pleasonton’s cavalry and two brigades of Meade’s infantry were directed to attack Stuart’s cavalry this morning. The fight commenced about 7 o’clock, and for several hours raged with great violence. As the sound receded from us, I conclude that the enemy were whipped, and I feel confident that our forces are now driving them across thq Blue Ridge, perhaps at Snicker’s Gap. All of the passes in the Blue Ridge, so far as I know, are stoutly held by the enemy, but I was in hopes that Pleasonton would be able to push his adversary so closely as to cross the mountain in their company.
This cavalry force has hitherto prevented me from obtaining satisfactory information as to the whereabouts of the enemy. They have masked all of their movements. I have not yet received a word from the front since the beginning of the fight; from this I conclude the space between me and them has been lengthened since morning.
The cavalry and all the troops are in glorious spirits, and the former have achieved wonders in the last few days.",Hooker
"June 22, 1863",Lincoln,"Mr. President : My latest advices from General Pleasonton dated 4.30 p.m., the 21st. At that time he had driven the rebel cavalry through Upperville, capturing some of his artillery, and still pursuing. Appearances favorable.",Hooker
"June 22, 1863",Hooker,"Orders will be issued placing all that part of the Eighth Corps and of the Middle Department east of Cumberland under your immediate orders. The Department of Washington will continue as heretofore, your orders being given direct to General Heintzelman, he reporting them to headquarters before executing them, where they conflict with his special instructions. Affairs in Middle Department are represented as unsatisfactory. I go immediately to Baltimore to ascertain their condition.",Halleck
"June 22, 1863",Hooker,"Operator at Leesburg just now says:
I heard very little firing this a. m. about 1 daylight, but it seems to have stopped now. It was in about same direction as yesterday, but farther off.",Lincoln
"June 22, 1863",Hooker,"In order to give compactness to the command of troops in the field covering Washington and Baltimore, it is proposed to place that part of the Middle Department east of Cumberland, now commanded by General Schenck, under your direct orders. The President directs me to ask you if that arrangement would be agreeable. Please answer as early as possible.",Halleck
"June 22, 1863",Halleck,"Your telegram of 3.15 p.m. to-day is received. In reply, I have to state yes, provided that the same authority is continued to me that I now have, which is to give orders direct to the troops in the departments of Generals Schenck and Heintzelman.",Hooker
"June 24, 1863",Halleck,"The aspect of the enemy is not much changed from yesterday. Ewell, I conclude, is over the river, and is now up the country, I suppose, for purposes of plunder. The yeomanry of that district should be able to check any extended advance of that column, and protect themselves from their aggression.
Of the troops that marched to the river at Shepherdstown yesterday, I cannot learn that any have crossed, and as soon as I do I shall commence moving, myself, and, indeed, am preparing my new acquisitions for that event; the others are ready. General French is now on his way to Harper’s Ferry, and I have given directions for the force at Poolesville to march and report to him, and also for all of Stahel’s cavalry, and, if I can do it without attracting observation, I shall send over a corps or two from here, in order, if possible, to sever Ewell from the balance of the rebel army, in case he should make a protracted sojourn with his Pennsylvania neighbors.
If the enemy should conclude not to throw any additional force over the river, I desire to make Washington secure, and, with all the force I can muster, strike for his line of retreat in the direction of Richmond. I cannot learn the strength of Heintzelman’s and Schenck’s commands, nor where they are stationed, and hence I send my chief of staff to Washington and Baltimore to ascertain, and also to start out a column of about 15,000 men cm. the National road as far as-Frederick City. In any contingency, whether of an advance or retreat of the enemy, the defense of Washington or Baltimore, this amount of force should be there, and they should be held in readiness to march, which fact I will not be able to know until I put them on the road. I will send the best officers I have to command this body. I desire that instructions may be given Generals Heintzelman and Schenck to direct their commands to obey promptly any orders they may receive from me.
Last evening the colonel commanding at Poolesville responded to his orders to march that he did not belong to my command, but would refer his orders to General Heintzelman. Such delays may bring us reverses. When these instructions are given, I shall not be necessitated to repeat orders to any part of my command to march on the enemy.
Allow me to suggest that the new troops arriving in Baltimore and Washington beat once put in the defenses, and the old ones, excepting those serving with the artillery, be put in marching condition. If this should be done quickly, I think that we may anticipate glorious results from the recent movement of the enemy, whether he should determine to advance or retreat.
I request that my orders be sent me to-day, for outside of the Army of the Potomac I don’t know whether I am standing on my head or feet.",Hooker
"June 24, 1863",Hooker,"General Schenck has been notified that the troops of his department in Harper’s Ferry and vicinity would obey all orders direct from you, and that he would obey your orders in regard to the other troops of his command. They, however, are nearly all militia.",Halleck
"June 25, 1863",Halleck,"Subjoined is a dispatch this moment received. It speaks for itself. I request that General Slough be arrested at once, and charges will be forwarded as soon as I have time to prepare them. You will find, I fear, when it is too late, that the effort to preserve department lines will be fatal to the cause of the country. [Inclosure.]
Upton’s Hill, June 25, 1863.
Major-General Butterfield :
A dispatch has been received during the night from General Slough, military governor of Alexandria, informing me that the commanding officer of the Second Brigade, Pennsylvania Reserve Corps, has been instructed by him not to recognize the orders sent to him to prepare to join the division, as directed in your dispatch of June 23.
S. W. CRAWFORD, Brigadier-General, Commanding.",Hooker
"June 25, 1863",Hooker,"The Second Brigade, to which you refer in your telegram, forms no part of General Crawford’s command, which was placed at your orders. No other troops can be withdrawn from the Defenses of Washington.",Halleck
"June 25, 1863",Hooker,"The immense loss and destruction of horses in your army, and the difficulty of supplying this loss, render it necessary that you should impress every serviceable animal likely to fall into the hands of the enemy. There are many animals in Loudoun County and the adjacent parts of Maryland. These should be seized, to save them from the enemy, as well as to supply yourself.",Halleck
"June 25, 1863",Hooker,The President has assigned General Hancock to the command of the Second Corps.,Halleck
"June 26, 1863",Halleck,I desire every facility to be in readiness for supplies to be thrown to Frederick by rail.,Hooker
"June 26, 1863",Halleck,"Is there any reason why Maryland Heights should not be abandoned after the public stores and property are removed ?
I propose to visit the place tomorrow, on my way to Frederick, to satisfy myself on that point. It must be borne in mind that I am here with a force inferior in numbers to that of the enemy, and must have every available man to use on the field.",Hooker
"June 26, 1863",Stanton,"I would respectfully request that Major-General Stahel may be ordered by telegraph to report to General Couch, with a view to organizing and putting in an efficient condition any mounted troops that can be raised for service there. His presence here as senior major-general will much embarrass me and retard my movements.",Hooker
"June 26, 1863",Lincoln,"You need not believe any more than you choose of what is published in the Associated Press dispatches concerning this army tomorrow. Was it from the newspapers that you received a report, or an idea, that I was in Washington last night?",Hooker
"June 27, 1863",Hooker,"It did not come from the newspapers, nor did I believe it, but I wished to be entirely sure it was a falsehood.",Lincoln
"June 27, 1863",Halleck,"That there may he no misunderstanding as to my force, I would respectfully state that, including the portions of General Heintzel-man’s command, and General Schenck’s, now with me, my whole force of enlisted men for duty will not exceed 105,000. Fourteen batteries of the Artillery Reserve have been sent to Washington. Of General Abercrombie’s force, one brigade has just been sent home from expiration of service, and the others go shortly. One brigade of General Crawford’s force has not reported with it. I state these facts that there may not be expected of me more than I have material to do with.
My headquarters at Frederick tonight. Three corps at Middletown, one corps at Knoxville, two at Frederick, and the remaining infantry corps very near there tonight.",Hooker
"June 27, 1863",Halleck,"General Hooker personally has just left here for Harper’s Ferry, where he will be about 11 o’clock, Point of Rocks about 10 a. m.,and at Frederick tonight. Copies of all dispatches should be sent to Frederick and Harper’s Ferry up to 11 a. m., and after that to Frederick. The staff are just leaving here for Frederick.",Hooker
"June 27, 1863",Hooker,"Major [James C.] Duane and Captain [George H.] Mendell were ordered to your army, and it is presumed that they are en route. I do not know where they now are, unless in your army. Maryland Heights have always been regarded as an important point to be held by us, and much expense and labor incurred in fortifying them. I cannot approve their abandonment, except in case of absolute necessity.",Halleck
"June 27, 1863",Hooker,"Major-General Stahel is relieved from duty in the Army of the Potomac, and will report to General Couch, at Harrisburg, to organize and command the cavalry in the Department of the Susquehanna. Lowell’s cavalry is the only force for scouts in this department, and cannot be taken from General Heintzelman’s command.",Halleck
"June 27, 1863",Halleck,"I have received your telegram in regard to Harper’s Ferry. I find 10,000 men here, in condition to take the field. Here they are of no earthly account. They cannot defend a ford of the river, and, as far as Harper’s Ferry is concerned, there is nothing of it. As for the fortifications, the work of the troops, they remain when the troops are withdrawn. No enemy will ever take possession of them for them. This is my opinion. All the public property could have been secured tonight, and the troops marched to where they could have ' been of some service. Now they are but a bait for the rebels, should they return.
I beg that this may be presented to the Secretary of War and His Excellency the President.",Hooker
"June 27, 1863",Halleck,"My original instructions require me to cover Harper’s Ferry and Washington. I have now imposed upon me, in addition, an enemy in my front of more than my number. I beg to be understood, respectfully, but firmly, that I am unable to comply with this condition with the means at my disposal, and earnestly request that I may at once be relieved from the position I occupy.",Hooker
"June 27, 1863",Hooker,"Your application to be relieved from your present command is received.
As you were appointed to this command by the President, I have no power to relieve you. Your dispatch has been duly referred for Executive action.",Halleck
